time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1669072351        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072361        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072371        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072382        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072392        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072402        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072412        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072423        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072433        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072443        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072454        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072464        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072474        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072484        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072495        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072505        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072515        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072525        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072536        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072546        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072556        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072567        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072577        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072587        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072597        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072608        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072618        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1669072628        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
