#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1669072351 898614929 769430474 238016383 209346617 83581015 76882518 825600 930308 91185.03 93841.79 3936.43 2885.54
1669072361 898614929 769430474 238016383 209346617 83581063 76882567 825600 930308 91184.84 93839.14 3936.48 2888.84
1669072371 898614929 769430474 238016383 209346617 83581108 76882622 825600 930308 91185.16 93838.28 3935.66 2890.11
1669072382 898614929 769430474 238016383 209346617 83581157 76882672 825600 930308 91184.99 93838.24 3936.94 2890.14
1669072392 898614929 769430474 238016383 209346617 83581208 76882719 825600 930308 91184.59 93840.76 3936.88 2887.60
1669072402 898614929 769430474 238016383 209346617 83581261 76882767 825600 930308 91186.10 93840.17 3935.25 2887.76
1669072412 898614929 769430474 238016383 209346617 83581307 76882819 825600 930308 91184.53 93840.61 3936.80 2887.91
1669072423 898614929 769430474 238016383 209346617 83581355 76882871 825600 930308 91186.40 93839.27 3935.45 2888.71
1669072433 898614929 769430474 238016383 209346617 83581401 76882926 825600 930308 91186.09 93839.83 3935.86 2888.02
1669072443 898614929 769430474 238016383 209346617 83581455 76882972 825600 930308 91184.92 93840.86 3935.42 2887.61
1669072453 898614929 769430474 238016383 209346617 83581507 76883020 825600 930308 91185.17 93840.22 3936.76 2887.14
1669072464 898614929 769430474 238016383 209346617 83581555 76883070 825600 930308 91185.26 93840.30 3936.06 2888.70
1669072474 898614929 769430474 238016383 209346617 83581601 76883129 825600 930308 91185.82 93840.22 3936.08 2887.64
1669072484 898614929 769430474 238016383 209346617 83581652 76883174 825600 930308 91185.09 93841.13 3936.34 2887.21
1669072494 898614929 769430474 238016383 209346617 83581709 76883218 825600 930308 91185.61 93841.06 3935.71 2887.45
1669072505 898614929 769430474 238016383 209346617 83581753 76883275 825600 930308 91185.92 93840.93 3934.95 2885.94
1669072515 898614929 769430474 238016383 209346617 83581802 76883324 825600 930308 91184.84 93841.45 3936.48 2887.07
1669072525 898614929 769430474 238016383 209346617 83581852 76883374 825600 930308 91185.46 93840.03 3936.38 2887.00
1669072536 898614929 769430474 238016383 209346617 83581900 76883426 825600 930308 91187.07 93841.71 3934.86 2886.77
1669072546 898614929 769430474 238016383 209346617 83581951 76883475 825600 930308 91186.08 93840.05 3934.81 2888.34
1669072556 898614929 769430474 238016383 209346617 83582004 76883520 825600 930308 91187.57 93842.18 3934.30 2885.33
1669072566 898614929 769430474 238016383 209346617 83582055 76883571 825600 930308 91186.73 93841.97 3935.19 2886.45
1669072577 898614929 769430474 238016383 209346617 83582103 76883624 825600 930308 91187.33 93841.19 3933.99 2886.82
1669072587 898614929 769430474 238016383 209346617 83582152 76883673 825600 930308 91185.16 93841.37 3935.66 2887.15
1669072597 898614929 769430474 238016383 209346617 83582199 76883727 825600 930308 91186.65 93841.52 3935.04 2886.25
1669072607 898614929 769430474 238016383 209346617 83582253 76883775 825600 930308 91187.68 93841.13 3934.18 2886.87
1669072618 898614929 769430474 238016383 209346617 83582293 76883835 825600 930308 91187.96 93840.98 3933.36 2887.04
1669072628 898614929 769430474 238016383 209346617 83582343 76883885 825600 930308 91187.55 93841.28 3933.27 2886.69
1669072638 898614929 769430474 238016383 209346617 83582395 76883935 825600 930308 91187.38 93841.70 3934.07 2886.75
1669072649 898614929 769430474 238016383 209346617 83582447 76883983 825600 930308 91186.58 93842.07 3934.84 2885.37
1669072659 898614929 769430474 238016383 209346617 83582495 76884035 825600 930308 91187.94 93841.39 3933.50 2887.02
1669072669 898614929 769430474 238016383 209346617 83582548 76884083 825600 930308 91185.61 93841.73 3935.83 2886.67
1669072679 898614929 769430474 238016383 209346617 83582598 76884132 825600 930308 91185.68 93842.25 3935.64 2886.21
1669072690 898614929 769430474 238016383 209346617 83582650 76884180 825600 930308 91187.32 93843.17 3933.57 2884.68
1669072700 898614929 769430474 238016383 209346617 83582704 76884227 825600 930308 91188.38 93843.80 3934.04 2884.06
1669072710 898614929 769430474 238016383 209346617 83582754 76884277 825600 930308 91187.99 93843.57 3933.93 2884.28
1669072720 898614929 769430474 238016383 209346617 83582803 76884328 825600 930308 91185.89 93844.11 3935.57 2884.27
1669072731 898614929 769430474 238016383 209346617 83582857 76884374 825600 930308 91186.70 93844.74 3934.25 2883.71
1669072741 898614929 769430474 238016383 209346617 83582910 76884422 825600 930308 91188.77 93843.09 3933.05 2884.38
1669072751 898614929 769430474 238016383 209346617 83582956 76884477 825600 930308 91189.26 93842.70 3932.77 2884.66
1669072762 898614929 769430474 238016383 209346617 83583009 76884525 825600 930308 91187.46 93842.34 3935.00 2885.02
